generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
26.0,0.75,1.0,0.48555415459272855,1.0,0.8671984152329247,4,1.0103909893952532
28.0,0.42857142857142855,1.0,0.5046747345392297,1.0,0.9154806196972382,7,1.009386884938122
44.0,0.42857142857142855,1.0,0.5052358750221273,1.0,0.922529598061513,7,1.008794215198274
23.0,1.0,1.0,0.4243017380198789,1.0,0.784074313486078,3,1.0064529162553681
22.0,1.0,1.0,0.42294372294372284,1.0,0.8300221945542142,3,1.0015865251333231
53.0,0.6,1.0,0.45037370316107384,1.0,0.8948543573486049,5,1.0005893048973542
21.0,0.6666666666666666,1.0,0.5501294084885417,1.0,0.8739316239316239,3,0.9226327193045458
60.0,0.6666666666666666,1.0,0.493001443001443,1.0,0.8491641337386019,3,0.9136838752264285
30.0,0.6666666666666666,1.0,0.46419971832265683,1.0,0.8405415936099746,3,0.9087857843035339
46.0,0.4,1.0,0.5012243676152801,1.0,0.9296031746031745,5,0.9072845560627385
18.0,1.0,1.0,0.4328358208955224,1.0,0.7959582790091264,2,0.9069713362781919
24.0,0.5,1.0,0.47107858246581036,1.0,0.8835560625814863,4,0.9058601102350134
56.0,0.6666666666666666,1.0,0.4594098883572568,1.0,0.8759157509157509,3,0.9042904025798761
29.0,0.3333333333333333,1.0,0.411817525541053,1.0,0.930792972459639,6,0.8892842078622467
11.0,0.3333333333333333,1.0,0.6519274790570817,1.0,0.8066666666666666,3,0.8497188291447496
89.0,0.5,1.0,0.5789473684210527,1.0,0.84375,2,0.8314144736842105
59.0,0.5,1.0,0.5423728813559322,1.0,0.9056603773584906,2,0.8179085385353373
15.0,0.5,1.0,0.5,1.0,0.8942307692307692,2,0.810576923076923
31.0,0.25,1.0,0.5096754181866678,1.0,0.9364406779661016,4,0.8082910158407233
58.0,0.3333333333333333,1.0,0.5096588354191431,1.0,0.9371069182389937,3,0.8082210752599291
20.0,0.5,1.0,0.4642857142857143,1.0,0.8942307692307692,2,0.8034340659340659
51.0,0.16666666666666666,1.0,0.4920383169083419,1.0,0.9590163934426229,6,0.8025060240374061
25.0,0.2,1.0,0.46143172403309407,1.0,0.9491525423728813,5,0.7973710905693306
41.0,0.16666666666666666,1.0,0.44660805135487025,1.0,0.9682539682539683,6,0.7924962134455772
27.0,0.3333333333333333,1.0,0.4243972746331237,1.0,0.9281045751633986,3,0.7920689974102848
48.0,0.2,1.0,0.396560765394221,1.0,0.9703703703703704,5,0.7822751160418071
54.0,0.5,1.0,0.3653846153846154,1.0,0.9081632653061225,2,0.7822605965463109
19.0,1.0,1.0,0.0,1.0,0.7457627118644068,1,0.7254237288135593
17.0,1.0,1.0,0.0,1.0,0.7884615384615384,1,0.7211538461538461
86.0,0.5,1.0,0.0,1.0,1.0,2,0.7
93.0,0.5,1.0,0.0,1.0,1.0,2,0.7
38.0,0.0,1.0,0.4818059379269145,1.0,1.0,4,0.6963611875853829
39.0,0.0,1.0,0.4787988061697829,1.0,1.0,4,0.6957597612339566
50.0,0.0,1.0,0.475344776810778,1.0,1.0,4,0.6950689553621556
45.0,0.0,1.0,0.4748303167420814,1.0,1.0,3,0.6949660633484163
43.0,0.0,1.0,0.46168920208088926,1.0,1.0,5,0.6923378404161779
32.0,0.0,1.0,0.45788203987194753,1.0,1.0,6,0.6915764079743896
40.0,0.0,1.0,0.4438564432865345,1.0,1.0,3,0.688771288657307
55.0,0.0,1.0,0.42553191489361697,1.0,1.0,2,0.6851063829787234
62.0,0.0,1.0,0.42553191489361697,1.0,1.0,2,0.6851063829787234
52.0,0.0,1.0,0.42553191489361697,1.0,1.0,2,0.6851063829787234
34.0,0.0,1.0,0.4225892498549829,1.0,1.0,5,0.6845178499709965
36.0,0.0,1.0,0.41155196450519116,1.0,1.0,6,0.6823103929010382
42.0,0.0,1.0,0.41107249695193937,1.0,1.0,5,0.6822144993903878
33.0,0.0,1.0,0.39583333333333337,1.0,1.0,2,0.6791666666666667
37.0,0.0,1.0,0.39534883720930236,1.0,1.0,2,0.6790697674418604
35.0,0.0,1.0,0.3929423692553945,1.0,1.0,4,0.6785884738510789
49.0,0.0,1.0,0.33839869281045754,1.0,1.0,3,0.6676797385620915
47.0,0.0,1.0,0.27633219954648525,1.0,1.0,3,0.6552664399092971
7.0,0.0,1.0,0.15555555555555556,1.0,1.0,2,0.6311111111111111
80.0,0.0,1.0,0.0,1.0,1.0,1,0.6
83.0,0.0,1.0,0.0,1.0,1.0,1,0.6
82.0,0.0,1.0,0.0,1.0,1.0,1,0.6
81.0,0.0,1.0,0.0,1.0,1.0,1,0.6
78.0,0.0,1.0,0.0,1.0,1.0,1,0.6
79.0,0.0,1.0,0.0,1.0,1.0,1,0.6
84.0,0.0,1.0,0.0,1.0,1.0,1,0.6
77.0,0.0,1.0,0.0,1.0,1.0,1,0.6
76.0,0.0,1.0,0.0,1.0,1.0,1,0.6
75.0,0.0,1.0,0.0,1.0,1.0,1,0.6
98.0,0.0,1.0,0.0,1.0,1.0,1,0.6
95.0,0.0,1.0,0.0,1.0,1.0,1,0.6
97.0,0.0,1.0,0.0,1.0,1.0,1,0.6
96.0,0.0,1.0,0.0,1.0,1.0,1,0.6
85.0,0.0,1.0,0.0,1.0,1.0,1,0.6
94.0,0.0,1.0,0.0,1.0,1.0,1,0.6
92.0,0.0,1.0,0.0,1.0,1.0,1,0.6
91.0,0.0,1.0,0.0,1.0,1.0,1,0.6
90.0,0.0,1.0,0.0,1.0,1.0,1,0.6
88.0,0.0,1.0,0.0,1.0,1.0,1,0.6
87.0,0.0,1.0,0.0,1.0,1.0,1,0.6
73.0,0.0,1.0,0.0,1.0,1.0,1,0.6
74.0,0.0,1.0,0.0,1.0,1.0,1,0.6
99.0,0.0,1.0,0.0,1.0,1.0,1,0.6
72.0,0.0,1.0,0.0,1.0,1.0,1,0.6
64.0,0.0,1.0,0.0,1.0,1.0,1,0.6
10.0,0.0,1.0,0.0,1.0,1.0,1,0.6
71.0,0.0,1.0,0.0,1.0,1.0,1,0.6
57.0,0.0,1.0,0.0,1.0,1.0,1,0.6
61.0,0.0,1.0,0.0,1.0,1.0,1,0.6
8.0,0.0,1.0,0.0,1.0,1.0,1,0.6
63.0,0.0,1.0,0.0,1.0,1.0,1,0.6
65.0,0.0,1.0,0.0,1.0,1.0,1,0.6
66.0,0.0,1.0,0.0,1.0,1.0,1,0.6
67.0,0.0,1.0,0.0,1.0,1.0,1,0.6
68.0,0.0,1.0,0.0,1.0,1.0,1,0.6
69.0,0.0,1.0,0.0,1.0,1.0,1,0.6
70.0,0.0,1.0,0.0,1.0,1.0,1,0.6
2.0,0.0,0.0,0.0,0.0,0.0,0,0.1
3.0,0.0,0.0,0.0,0.0,0.0,0,0.1
4.0,0.0,0.0,0.0,0.0,0.0,0,0.1
5.0,0.0,0.0,0.0,0.0,0.0,0,0.1
6.0,0.0,0.0,0.0,0.0,0.0,0,0.1
16.0,0.0,0.0,0.0,0.0,0.0,0,0.1
9.0,0.0,0.0,0.0,0.0,0.0,0,0.1
12.0,0.0,0.0,0.0,0.0,0.0,0,0.1
13.0,0.0,0.0,0.0,0.0,0.0,0,0.1
14.0,0.0,0.0,0.0,0.0,0.0,0,0.1
1.0,0.0,0.0,0.0,0.0,0.0,0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0,0.1
