generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
58.0,0.5625,1.0,0.455562465848544,1.0,0.8911003021636328,32,2.5020024629533455
56.0,0.5151515151515151,0.9705882352941176,0.45841161042163314,1.0,0.8938284172747253,34,2.444991102460241
52.0,0.64,0.9259259259259259,0.46726387636987055,1.0,0.8624290872788236,27,2.41298764432387
59.0,0.48484848484848486,0.9705882352941176,0.47081645255118487,1.0,0.8943274324609335,34,2.3443918663372276
53.0,0.625,1.0,0.4691525208172376,1.0,0.8610433835651449,24,2.207726165806933
63.0,0.6086956521739131,0.92,0.4588702638895008,1.0,0.8857760152953583,25,2.2009355816831473
57.0,0.45161290322580644,0.9393939393939394,0.4575784473089106,1.0,0.8932062318264847,33,2.174335828742477
50.0,0.5185185185185185,1.0,0.4777043310568211,1.0,0.8834912535078798,27,2.1071917408605763
64.0,0.5652173913043478,0.92,0.43061528019890183,1.0,0.8774948993948791,25,2.087417044361162
68.0,0.5416666666666666,0.96,0.46226362377129304,1.0,0.8998894251814296,25,2.0446304489027822
51.0,0.52,1.0,0.4748686608992163,1.0,0.8793230302779363,25,2.0070414291520495
61.0,0.52,1.0,0.46631911633856493,1.0,0.8861301813543899,25,2.004650805132274
54.0,0.6190476190476191,1.0,0.4425165727578543,1.0,0.8831688669475115,21,2.0001864278568195
65.0,0.5714285714285714,0.9130434782608695,0.4645102763937762,1.0,0.8907308689582815,23,1.9920277261469022
69.0,0.55,0.9523809523809523,0.47683565586766274,1.0,0.9008974344049839,21,1.8459916734473203
67.0,0.5238095238095238,0.9545454545454546,0.4698118921762928,1.0,0.9035432948927167,22,1.842352637690576
55.0,0.44,0.9615384615384616,0.4453180243896222,1.0,0.9122749515024562,26,1.8302976481892173
71.0,0.5238095238095238,1.0,0.4749946332721786,1.0,0.8901875198729483,21,1.805980174667141
60.0,0.4166666666666667,0.96,0.4607407183068488,1.0,0.9122346460620395,25,1.7305913457218325
49.0,0.5625,0.9411764705882353,0.46277009176033146,1.0,0.8785534674267924,17,1.6433016127858577
66.0,0.42857142857142855,0.9545454545454546,0.45701207985135217,1.0,0.9245135256794954,22,1.6281718426231002
46.0,0.6428571428571429,1.0,0.4842186816171842,1.0,0.8716530145755934,14,1.6096784348658777
48.0,0.6428571428571429,1.0,0.46383998662174486,1.0,0.8793976123654877,14,1.6048282360878003
72.0,0.5625,1.0,0.4652362008220353,1.0,0.8936230822428899,16,1.603684931940118
62.0,0.42105263157894735,0.95,0.49110540564849503,1.0,0.9094368199219645,20,1.5343826622953973
45.0,0.6666666666666666,1.0,0.4638019363702428,1.0,0.854462117325646,12,1.507314175541484
80.0,0.6363636363636364,1.0,0.4469877748468031,1.0,0.8729794667331029,11,1.4020996082960504
70.0,0.4,0.8823529411764706,0.4750052509481134,1.0,0.9219060827362714,17,1.3475163242689367
78.0,0.5,0.9230769230769231,0.47268964682978554,1.0,0.9209943397029319,13,1.3293615723187409
