smiles,fitness,score,generation,can_smiles,duplicate,Tg
Cc1cc(S(=O)(=O)c2cc(C)c(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(C)cc1I,0.8823043,0.6805873,31.0,Cc1cc(S(=O)(=O)c2cc(C)c(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(C)cc1I,1,752.8803666666668
Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)ccc1I,0.88997066,0.6893921,31.0,Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)ccc1I,1,762.4633333333333
Cc1cc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)ccc1S(=O)(=O)c1ccc(S(=O)(=O)c2ccc(I)cc2C)c(Cl)c1Cl,0.8417763,0.63065946,31.0,Cc1cc(I)ccc1S(=O)(=O)c1ccc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(Cl)c1Cl,1,766.296
Cc1cc(S(=O)(=O)c2cc(C)c(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)cc(C)c1I,0.8874816,0.68655527,31.0,Cc1cc(S(=O)(=O)c2cc(C)c(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)cc(C)c1I,1,759.352
Cc1cc(C)c(S(=O)(=O)c2cc(C)c(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)c(C)c1,0.87257355,0.66912174,31.0,Cc1cc(C)c(S(=O)(=O)c2cc(C)c(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)c(C)c1,0,750.033680952381
Cc1cc(S(=O)(=O)c2c(C)cc(S(=O)(=O)c3c(C)cc(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)c(C)c3)c(Cl)c2Cl)ccc1I,0.83918,0.6272639,31.0,Cc1cc(S(=O)(=O)c2c(C)cc(S(=O)(=O)c3cc(C)c(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)cc3C)c(Cl)c2Cl)ccc1I,0,750.5912333333334
Cc1cc(S(=O)(=O)c2ccc(I)c(Cl)c2Cl)cc(C)c1-n1c(=O)c2cc3c(=O)n(I)c(=O)c3cc2c1=O,0.8994464,0.70000005,31.0,Cc1cc(S(=O)(=O)c2ccc(I)c(Cl)c2Cl)cc(C)c1-n1c(=O)c2cc3c(=O)n(I)c(=O)c3cc2c1=O,0,774.308
Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)c(C)cc1S(=O)(=O)c1ccc(I)c(Cl)c1,0.83227134,0.6181114,31.0,Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)c(C)cc1S(=O)(=O)c1ccc(I)c(Cl)c1,0,768.962
Cc1cc(S(=O)(=O)c2ccc(S(=O)(=O)c3cc(C)c(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)cc3C)c(Cl)c2Cl)c(C)cc1I,0.8575142,0.6507306,31.0,Cc1cc(S(=O)(=O)c2ccc(S(=O)(=O)c3cc(C)c(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)cc3C)c(Cl)c2Cl)c(C)cc1I,1,764.96
Cc1cc(I)ccc1Sc1ccc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(Cl)c1Cl,0.85243213,0.64434505,31.0,Cc1cc(I)ccc1Sc1ccc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(Cl)c1Cl,0,766.406
