smiles,fitness,score,generation,can_smiles,duplicate,Tg
Cc1cc(S(=O)(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)cc(C)c1I,0.77560145,0.64357054,37.0,Cc1cc(S(=O)(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)cc(C)c1I,1,754.0494857142859
Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)ccc1I,0.8160313,0.682243,37.0,Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)ccc1I,1,762.4633333333333
O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)cc6)c(Cl)c5Cl)cc4Cl)c(=O)c3cc2c(=O)n1I,0.72520286,0.5903256,37.0,O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)cc6)c(Cl)c5Cl)cc4Cl)c(=O)c3cc2c(=O)n1I,0,757.75
Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)c(C)cc1S(=O)(=O)c1ccc(I)c(Cl)c1,0.7393077,0.605798,37.0,Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)c(C)cc1S(=O)(=O)c1ccc(I)c(Cl)c1,0,768.962
Cc1cc(S(=O)(=O)c2cc(C)c(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)cc(C)c1I,0.78138787,0.64932334,37.0,Cc1cc(S(=O)(=O)c2cc(C)c(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)cc(C)c1I,1,759.352
Cc1cc(I)cc(C)c1S(=O)(=O)c1cc(C)c(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(C)c1,0.7745346,0.64250195,37.0,Cc1cc(S(=O)(=O)c2c(C)cc(I)cc2C)cc(C)c1-n1c(=O)c2cc3c(=O)n(I)c(=O)c3cc2c1=O,1,753.0761476190476
O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)c(Cl)c6Cl)cc5)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.74682087,0.61385787,37.0,O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)c(Cl)c6Cl)cc5)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,1,778.734
Cc1cc(S(=O)(=O)c2ccc(I)nc2)cc(C)c1-c1c(C)cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)cc1C,0.68826336,0.54768896,37.0,Cc1cc(S(=O)(=O)c2ccc(I)nc2)cc(C)c1-c1c(C)cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)cc1C,0,755.852
Cc1cc(I)ccc1S(=O)(=O)c1cc(C(=O)O)cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c1C,0.69457006,0.55518496,37.0,Cc1cc(I)ccc1S(=O)(=O)c1cc(C(=O)O)cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c1C,0,753.402
Cc1cc(S(=O)(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)cc(C)c1S(=O)(=O)c1cc(C)c(I)c(C)c1,0.69023854,0.5500462,37.0,Cc1cc(S(=O)(=O)c2c(C)cc(S(=O)(=O)c3c(C)cc(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)cc3C)cc2C)cc(C)c1I,1,754.0494857142859
Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)c(C)cc1S(=O)(=O)c1ccc(I)c(Cl)c1Cl,0.75353104,0.62094975,37.0,Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)c(C)cc1S(=O)(=O)c1ccc(I)c(Cl)c1Cl,1,788.82
Cc1cc(S(=O)(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)c(C)cc1I,0.78837126,0.6561687,37.0,Cc1cc(S(=O)(=O)c2cc(C)c(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(C)cc1I,1,752.8803666666668
Cc1cc(I)cc(C)c1S(=O)(=O)c1ccc(Sc2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(Cl)c1Cl,0.7139117,0.5776181,37.0,Cc1cc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)cc(C)c1Sc1ccc(S(=O)(=O)c2c(C)cc(I)cc2C)c(Cl)c1Cl,0,751.956
O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)c(Cl)c6Cl)cn5)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.7407884,0.60739636,37.0,O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)c(Cl)c6Cl)cn5)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,1,767.406
Cc1cc(S(=O)(=O)c2ccc(I)cc2Cl)cc(C)c1S(=O)(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(Cl)c1Cl,0.7341578,0.60020053,37.0,Cc1cc(S(=O)(=O)c2ccc(I)cc2Cl)cc(C)c1S(=O)(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(Cl)c1Cl,0,766.682
Cc1cc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)cc3C)c(Cl)c2Cl)cc(C)c1I,0.7302192,0.59587944,37.0,Cc1cc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)ccc1S(=O)(=O)c1ccc(S(=O)(=O)c2cc(C)c(I)c(C)c2)c(Cl)c1Cl,0,768.378
O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)c(Cl)c6Cl)nc5)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.7407884,0.60739636,37.0,O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)c(Cl)c6Cl)nc5)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,1,767.406
Cc1cc(S(=O)(=O)c2c(C)cc(S(=O)(=O)c3c(C)cc(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)cc3C)cc2C)cc(C)c1I,0.69023854,0.5500462,37.0,Cc1cc(S(=O)(=O)c2c(C)cc(S(=O)(=O)c3c(C)cc(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)cc3C)cc2C)cc(C)c1I,1,754.0494857142859
O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)c(Cl)c6Cl)c(Cl)c5Cl)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.7498845,0.6171082,37.0,O=c1c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccc(S(=O)(=O)c6ccc(I)c(Cl)c6Cl)c(Cl)c5Cl)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,1,793.402
Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)cc(C)c1S(=O)(=O)c1ccc(I)c(Cl)c1Cl,0.75133985,0.61864495,37.0,Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)cc(C)c1S(=O)(=O)c1ccc(I)c(Cl)c1Cl,1,786.562
