generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
25.0,0.5909090909090909,1.0,0.4389338869343604,1.0,0.8823968251716242,22,1.9995470948697098
26.0,0.5714285714285714,0.9545454545454546,0.41261974701034065,1.0,0.8933581201748307,22,1.9366946308910786
24.0,0.4,0.9375,0.46029324926703497,1.0,0.9121198011128945,16,1.3220966697421177
28.0,0.38461538461538464,0.9285714285714286,0.47772648826201247,1.0,0.9189209373561764,14,1.2206861709497518
22.0,0.4166666666666667,0.9230769230769231,0.4507493988709216,1.0,0.9141710939442745,13,1.2173225139695005
30.0,0.45454545454545453,1.0,0.5310691731049604,1.0,0.916250143351344,11,1.2145888202858577
16.0,0.3125,1.0,0.4547741584067102,1.0,0.9197507306868825,16,1.1989797586126538
36.0,0.5555555555555556,1.0,0.3957023098074759,1.0,0.9152543070397345,9,1.1876150312575215
51.0,0.5,1.0,0.4528903576509452,1.0,0.9246608527131783,8,1.0981119862588713
15.0,0.26666666666666666,1.0,0.454408085762128,1.0,0.9471771822743325,15,1.0961638989249924
18.0,0.36363636363636365,1.0,0.4273678454178217,1.0,0.9211147481549392,11,1.0933620942680704
27.0,0.3333333333333333,1.0,0.41589975255213585,1.0,0.9376448535674471,12,1.0894154651536825
94.0,0.42857142857142855,0.875,0.4764646626237282,1.0,0.8982746266108689,8,1.0108226127208015
34.0,0.3,1.0,0.5107616829230093,1.0,0.9285102192889078,10,1.009301314655711
32.0,0.3,1.0,0.49592182696918174,1.0,0.9334126984126984,10,1.0058430955525666
17.0,0.3333333333333333,1.0,0.47824463304973674,1.0,0.9275842506151579,9,1.0028905015484315
29.0,0.3,1.0,0.4827855513040542,1.0,0.9508203445447088,10,1.00147507580634
72.0,0.75,1.0,0.4053195560658248,1.0,0.8138690088917806,4,0.9996770103239869
39.0,0.42857142857142855,1.0,0.4451592968714274,1.0,0.9430091185410335,7,0.9947309475201822
44.0,0.42857142857142855,1.0,0.4362622655267776,1.0,0.9488871635610765,7,0.9923637367492477
97.0,0.5,1.0,0.42274325431217086,1.0,0.9244159928122193,6,0.9921070515812123
93.0,0.6,1.0,0.397172523040458,1.0,0.8812217194570134,5,0.9913123326623903
35.0,0.42857142857142855,1.0,0.39325159320850533,1.0,0.9109336488218476,7,0.9875569537595161
5.0,0.4,1.0,0.546904361616052,1.0,0.8874068554396424,5,0.9206401867792462
69.0,0.6666666666666666,1.0,0.4764077138219015,1.0,0.8534491364680044,3,0.9099366291175799
19.0,0.2,1.0,0.5053557605388105,1.0,0.9475268817204301,10,0.9063184639357191
31.0,0.18181818181818182,1.0,0.5027327675333806,1.0,0.9616349833741137,11,0.9043830551692649
92.0,0.5,1.0,0.44041584027772807,1.0,0.8723346090759979,4,0.9008497071479458
40.0,0.2857142857142857,1.0,0.4578001894819922,1.0,0.932154052843708,7,0.8983446326120277
37.0,0.2222222222222222,1.0,0.46711449990849596,1.0,0.9702600472813239,9,0.8963968952535667
9.0,0.3333333333333333,1.0,0.4369771077652387,1.0,0.9244821092278719,6,0.8949472106302605
90.0,0.5,1.0,0.4143059170100485,1.0,0.906078431372549,4,0.8922533402647548
10.0,0.5,1.0,0.41289198986722575,1.0,0.9198717948717949,4,0.8905912184862657
14.0,0.25,0.8888888888888888,0.46446556840982167,1.0,0.9435185185185185,9,0.8902079284967792
45.0,0.6666666666666666,1.0,0.3820469287362327,1.0,0.8728834059022739,3,0.8891210451570191
91.0,0.5,1.0,0.3914602748605157,1.0,0.9040178571428572,4,0.8878902692578174
95.0,0.4,1.0,0.39703602492715373,1.0,0.9342212356640769,5,0.8859850814190231
23.0,0.2,0.9090909090909091,0.42366039042348524,1.0,0.9577417173766059,11,0.8816851790743092
66.0,0.5,1.0,0.5942028985507246,1.0,0.8650793650793651,2,0.8323326432022083
41.0,0.3333333333333333,1.0,0.538827035537562,1.0,0.8589743589743589,3,0.8218679712100764
84.0,0.3333333333333333,1.0,0.5168220293581913,1.0,0.9265536723163842,3,0.8107090386399998
99.0,0.3333333333333333,1.0,0.5183851224105462,1.0,0.9361702127659575,3,0.8100600032055134
43.0,0.3333333333333333,1.0,0.5020843901045402,1.0,0.9294871794871794,3,0.80746816007219
73.0,0.25,1.0,0.5040961429281101,1.0,0.9479166666666666,4,0.8060275619189554
83.0,0.5,1.0,0.47457627118644063,1.0,0.8928571428571428,2,0.8056295399515737
46.0,0.2,1.0,0.4849470079009044,1.0,0.9333333333333333,5,0.8036560682468475
20.0,0.14285714285714285,1.0,0.4982420070844652,1.0,0.9766233766233766,7,0.8019860637545554
70.0,0.3333333333333333,1.0,0.46696472925981125,1.0,0.9195402298850576,3,0.8014389228634565
11.0,0.25,1.0,0.47576550929657047,1.0,0.962962962962963,4,0.7988568055630176
33.0,0.14285714285714285,1.0,0.4674278434032624,1.0,0.9614512471655329,7,0.7973404439640992
89.0,0.25,1.0,0.45534999701419987,1.0,0.9444444444444444,4,0.7966255549583955
74.0,0.3333333333333333,1.0,0.45516996106618757,1.0,0.9652777777777778,3,0.7945062144354598
76.0,0.25,1.0,0.43885383369599795,1.0,0.9558823529411764,4,0.7921825314450819
8.0,0.2,1.0,0.4354985392805193,1.0,0.9576923076923076,5,0.7913304770868731
13.0,0.125,1.0,0.4434199487827649,1.0,0.9807692307692308,8,0.7906070666796299
12.0,0.14285714285714285,1.0,0.4263120958415646,1.0,0.9780219780219781,7,0.7874602213661152
38.0,0.14285714285714285,1.0,0.42191504494162346,1.0,0.9851190476190477,7,0.7858711042264199
63.0,0.3333333333333333,1.0,0.39338016177096635,1.0,0.9423076923076922,3,0.784445263123424
