generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
61.0,0.42857142857142855,0.9333333333333333,0.4305375886814432,1.0,0.9055914859890224,15,1.3184055119945293
64.0,0.5714285714285714,1.0,0.4634576241238345,1.0,0.8459395949961988,7,1.108097565325147
50.0,0.5714285714285714,1.0,0.4498195439016419,1.0,0.8947577579653051,7,1.100488132983798
78.0,0.6,0.8333333333333334,0.4283126043190941,1.0,0.8485299787931366,6,1.010809522984505
62.0,0.3,0.9090909090909091,0.46858383654850333,1.0,0.9374326008221827,11,1.0027007799547552
54.0,0.375,0.8888888888888888,0.4457072500085315,1.0,0.9143665907276515,9,1.0018714575956078
58.0,0.3333333333333333,0.9,0.4533140710523341,1.0,0.9250337381916329,10,1.0014927737246369
71.0,0.42857142857142855,1.0,0.44217517523517347,1.0,0.9168676904724153,7,0.9967482659997933
53.0,0.375,1.0,0.4514239001263465,1.0,0.9369647397296936,8,0.9965883060523
30.0,0.25,0.9230769230769231,0.4352447696847418,1.0,0.9534313725490198,13,0.9936288936051232
76.0,0.6,1.0,0.4118443815172681,1.0,0.9010989010989011,5,0.9922589861935636
35.0,0.3333333333333333,1.0,0.4277846382916547,1.0,0.9469955123549896,9,0.9908573764228319
91.0,0.5,1.0,0.5006442631442631,1.0,0.8319377990430622,4,0.9169350727245464
66.0,0.3333333333333333,1.0,0.5256724412599652,1.0,0.9222883597883599,6,0.9129056522731569
69.0,0.4,1.0,0.5070418736939958,1.0,0.9221177944862156,5,0.9091965952901775
17.0,0.5,0.8,0.5490057156465824,1.0,0.9124149659863946,5,0.908559646530677
51.0,0.2222222222222222,1.0,0.4874311689220302,1.0,0.9348096348096347,9,0.9040052703034426
6.0,0.5,1.0,0.48004265760430986,1.0,0.9230954676952747,4,0.9036989847513346
40.0,0.2857142857142857,1.0,0.48075571704145537,1.0,0.9263425253991292,7,0.9035168908683782
74.0,0.2857142857142857,1.0,0.48161533724957073,1.0,0.944812462880899,7,0.9018418211618242
70.0,0.2857142857142857,1.0,0.4769490499421388,1.0,0.9368099698895952,7,0.9017088129994681
5.0,0.6666666666666666,1.0,0.418089079379402,1.0,0.8710076473234367,3,0.8965170511435367
56.0,0.2,1.0,0.45411606942640004,1.0,0.9560175794455713,10,0.8952214559407228
60.0,0.2,0.9090909090909091,0.4795274662799296,1.0,0.9376923076923077,11,0.894863535214028
29.0,0.2222222222222222,1.0,0.44790605893616486,1.0,0.957516339869281,9,0.8938295778003048
34.0,0.2222222222222222,1.0,0.44582295440633546,1.0,0.9595588235294118,9,0.8932087085283259
27.0,0.2,1.0,0.4382247501470482,1.0,0.945739064856712,10,0.8930710435437383
25.0,0.3333333333333333,1.0,0.4148996990854641,1.0,0.9095651080945198,6,0.8920234290076408
57.0,0.25,0.8888888888888888,0.47140819167297765,1.0,0.9471771467207573,9,0.8912305903291864
12.0,0.4,1.0,0.41846819267290913,1.0,0.929020979020979,5,0.8907915406324838
24.0,0.25,1.0,0.4104390358563673,1.0,0.9509803921568627,8,0.8869897679555871
16.0,0.4,0.8333333333333334,0.430990606489699,1.0,0.9209576138147566,6,0.8841023599164641
26.0,0.2222222222222222,0.9,0.4288827994636808,1.0,0.9564270152505446,10,0.8823560805899039
23.0,0.25,1.0,0.37210336764621865,1.0,0.9514988687782805,8,0.8792707866514158
37.0,0.16666666666666666,1.0,0.5194889687848455,1.0,0.8974358974358975,6,0.8141542040133792
65.0,0.25,1.0,0.5202271866454264,1.0,0.9517543859649122,4,0.8088699987325939
72.0,0.25,1.0,0.511101552599639,1.0,0.9517543859649122,4,0.8070448719234365
82.0,0.3333333333333333,1.0,0.4870319142285572,1.0,0.9515151515151515,3,0.8022548676941963
19.0,0.25,1.0,0.48585955733539665,1.0,0.9619565217391304,4,0.8009762592931663
45.0,0.14285714285714285,1.0,0.4732838119896926,1.0,0.9395604395604396,7,0.8007007184418945
88.0,0.5,1.0,0.41666666666666663,1.0,0.868421052631579,2,0.7964912280701755
79.0,0.25,1.0,0.4432244028899627,1.0,0.9298245614035088,4,0.7956624244376417
67.0,0.16666666666666666,1.0,0.4592339963094495,1.0,0.9672619047619048,6,0.7951206087856995
15.0,0.25,1.0,0.4444163754508582,1.0,0.9471153846153846,4,0.7941717366286332
47.0,0.14285714285714285,1.0,0.45589882867234666,1.0,0.9757412398921833,7,0.7936056417452511
33.0,0.1111111111111111,1.0,0.457894697585843,1.0,0.9814814814814815,9,0.7934307913690204
43.0,0.125,1.0,0.44706709448193327,1.0,0.9735576923076923,8,0.7920576496656174
42.0,0.14285714285714285,1.0,0.4433564961616886,1.0,0.9752747252747253,7,0.7911438267048652
28.0,0.14285714285714285,1.0,0.4398838066232815,1.0,0.969187675070028,7,0.7910579938176535
31.0,0.14285714285714285,1.0,0.4319748720339269,1.0,0.969187675070028,7,0.7894762068997826
44.0,0.16666666666666666,1.0,0.41938754992081273,1.0,0.9455128205128206,6,0.7893262279328804
32.0,0.09090909090909091,1.0,0.4331424516169722,1.0,0.983957219251337,11,0.7882327683982606
77.0,0.3333333333333333,1.0,0.40288045695634433,1.0,0.9387755102040817,3,0.7866985403708606
18.0,0.2,1.0,0.3898725838066227,1.0,0.9647058823529411,5,0.7815039285260303
36.0,0.125,0.8888888888888888,0.4927845509119225,1.0,0.972457627118644,9,0.7804778141371868
8.0,0.2,1.0,0.37560056415319565,1.0,0.9576923076923076,5,0.7793508820614083
7.0,0.25,1.0,0.3523438455735902,1.0,0.9471153846153846,4,0.7757572306531795
49.0,0.1,0.9090909090909091,0.4434961087940249,1.0,0.9839285714285715,11,0.7730336373432205
59.0,0.2,0.8333333333333334,0.48275139808354806,1.0,0.9491525423728813,6,0.7716350253794214
41.0,0.1111111111111111,0.9,0.44039536846081284,1.0,0.9764957264957265,10,0.771540612153701
38.0,0.14285714285714285,0.875,0.4419649775788138,1.0,0.9780219780219781,8,0.7673765119992793
52.0,0.16666666666666666,0.8571428571428571,0.44894646404510874,1.0,0.9666666666666667,7,0.7669321499518789
22.0,0.25,0.8,0.48952116926355804,1.0,0.9598214285714286,5,0.7669220909955689
63.0,0.14285714285714285,0.875,0.42377520612436514,1.0,0.9697802197802198,8,0.7645627335325653
48.0,0.16666666666666666,0.8571428571428571,0.4391344717465979,1.0,0.9779874213836478,7,0.7638376760204786
46.0,0.14285714285714285,0.875,0.4100621092538562,1.0,0.9752747252747253,8,0.761270663609013
73.0,0.25,0.8,0.4416764262654779,1.0,0.9471153846153846,5,0.7586237467915571
55.0,0.14285714285714285,0.7777777777777778,0.4295891190378798,1.0,0.9787234042553192,9,0.7499502452868059
11.0,0.0,1.0,0.5535714285714286,1.0,1.0,2,0.7107142857142856
94.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
96.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
95.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
92.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
90.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
89.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
87.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
86.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
9.0,0.0,1.0,0.507360844128766,1.0,1.0,4,0.7014721688257533
20.0,0.0,1.0,0.4522895332523591,1.0,1.0,5,0.6904579066504718
83.0,0.0,1.0,0.4503304004965134,1.0,1.0,3,0.6900660800993026
75.0,0.0,1.0,0.44924320605435153,1.0,1.0,3,0.6898486412108703
10.0,0.0,1.0,0.4285714285714286,1.0,1.0,2,0.6857142857142857
14.0,0.0,1.0,0.4129174489389543,1.0,1.0,4,0.6825834897877909
68.0,0.0,1.0,0.410411435494492,1.0,1.0,4,0.6820822870988984
80.0,0.0,1.0,0.3474970709551094,1.0,1.0,3,0.6694994141910219
39.0,0.0,0.875,0.44043375595868695,1.0,1.0,8,0.6505867511917374
13.0,0.0,0.8333333333333334,0.4562052871214364,1.0,1.0,6,0.6412410574242873
81.0,0.0,0.8,0.46975758852048843,1.0,1.0,5,0.6339515177040977
21.0,0.0,0.8,0.445199277909453,1.0,1.0,5,0.6290398555818906
93.0,0.0,1.0,0.0,1.0,1.0,1,0.6
98.0,0.0,1.0,0.0,1.0,1.0,1,0.6
97.0,0.0,1.0,0.0,1.0,1.0,1,0.6
99.0,0.0,1.0,0.0,1.0,1.0,1,0.6
84.0,0.0,0.6666666666666666,0.3023255813953488,1.0,1.0,3,0.5604651162790697
85.0,0.0,0.5,0.0,1.0,1.0,2,0.44999999999999996
1.0,0.0,0.0,0.0,0.0,0.0,0,0.1
4.0,0.0,0.0,0.0,0.0,0.0,0,0.1
3.0,0.0,0.0,0.0,0.0,0.0,0,0.1
2.0,0.0,0.0,0.0,0.0,0.0,0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0,0.1
