generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
50.0,0.5769230769230769,1.0,0.46363038745188534,1.0,0.8934199942145498,26,2.2033840780689222
46.0,0.5172413793103449,1.0,0.4531050917875452,1.0,0.889282568542518,29,2.2016927615032573
44.0,0.5555555555555556,1.0,0.4531427758313039,1.0,0.8896814337809438,27,2.2016604117881666
45.0,0.56,0.9259259259259259,0.4413602957207178,1.0,0.9003604961533622,27,2.1880137873065855
49.0,0.45161290322580644,1.0,0.4372367447202117,1.0,0.9208569820564171,31,2.0953616507384005
47.0,0.5,1.0,0.4348652205598098,1.0,0.9140732262945648,26,1.9955657214825053
48.0,0.44,0.9615384615384616,0.4539029896136866,1.0,0.9235171628043166,26,1.8308904201038443
39.0,0.5,1.0,0.45634076564172366,1.0,0.8991225550049079,22,1.8013558976278539
38.0,0.5789473684210527,1.0,0.4395337425761846,1.0,0.8907943648679107,19,1.798827312028446
42.0,0.45454545454545453,1.0,0.4732180417232106,1.0,0.9085822173166644,22,1.7037853866129757
57.0,0.5882352941176471,1.0,0.36922673756760205,1.0,0.9071412957369087,17,1.6831312179398297
40.0,0.375,1.0,0.47908829477741954,1.0,0.9219801966370594,24,1.603619639291778
43.0,0.47368421052631576,1.0,0.4216589875096449,1.0,0.9066064482473152,19,1.5936711526771976
54.0,0.34782608695652173,1.0,0.4893109062215497,1.0,0.9251149934801092,23,1.5053506818962992
41.0,0.47058823529411764,1.0,0.46175946822001424,1.0,0.9283782813519605,17,1.4995140655088068
52.0,0.34782608695652173,1.0,0.43552436589524823,1.0,0.9472866973844404,23,1.4923762034406056
36.0,0.42105263157894735,1.0,0.40680793360307155,1.0,0.9286036803089369,19,1.4885012186897206
23.0,0.5,1.0,0.46093097330781474,1.0,0.8979253590587917,14,1.4023936587556838
51.0,0.35,1.0,0.437857053155267,1.0,0.9229912521688839,20,1.395272285414165
56.0,0.3684210526315789,1.0,0.4494085930832218,1.0,0.9467567575838252,19,1.3952060428582618
53.0,0.4117647058823529,1.0,0.3641294210097987,1.0,0.939581311479599,17,1.3788677530539997
37.0,0.3157894736842105,1.0,0.4337561433559406,1.0,0.9471930644942963,19,1.2920319222217584
59.0,0.46153846153846156,1.0,0.41665845215193165,1.0,0.92715681505381,13,1.2906160089250054
21.0,0.4166666666666667,1.0,0.5082077927878415,1.0,0.9066560975256627,12,1.210975948805002
24.0,0.45454545454545453,1.0,0.4907544828348679,1.0,0.9148153500577341,11,1.2066693615612003
32.0,0.3333333333333333,1.0,0.4724916490395795,1.0,0.9185537918871253,15,1.2026429506192033
22.0,0.45454545454545453,1.0,0.46111853373255285,1.0,0.9128843350741337,11,1.2009352732390972
58.0,0.35714285714285715,1.0,0.4367466470834023,1.0,0.9389163334918053,14,1.1934576960675
26.0,0.2631578947368421,1.0,0.4341025108241582,1.0,0.9481103941636491,19,1.1920094627484668
30.0,0.4166666666666667,1.0,0.4131245423984016,1.0,0.9193419927870266,12,1.1906907092009777
60.0,0.4166666666666667,1.0,0.41924835790395887,1.0,0.9339981457667629,12,1.1904498570041158
61.0,0.4,0.8333333333333334,0.4815337236240961,1.0,0.9129166666666666,12,1.1350150780581525
33.0,0.4444444444444444,1.0,0.4700724249791435,1.0,0.8931943147629422,9,1.1046950535195346
25.0,0.3333333333333333,1.0,0.4739585699619643,1.0,0.9273146673508991,12,1.102060247257303
35.0,0.26666666666666666,1.0,0.44930272141856975,1.0,0.9355758448221588,15,1.0963029598014982
27.0,0.3076923076923077,1.0,0.4205599680907609,1.0,0.9410958049754036,13,1.0900024131206116
55.0,0.3333333333333333,1.0,0.4129787853209159,1.0,0.943048815054477,12,1.0882908755587355
28.0,0.25,1.0,0.3974568461807432,1.0,0.9536805373858945,16,1.0841233154975591
7.0,0.5,1.0,0.4705756023997346,1.0,0.8899993506071824,6,1.0051151854192288
66.0,0.375,1.0,0.491033622517543,1.0,0.9310443233237351,8,1.0051022921711352
20.0,0.375,1.0,0.48907238576733425,1.0,0.951938775510204,8,1.0026205996024466
62.0,0.3333333333333333,0.9,0.45305491946848386,1.0,0.9558774399630051,10,0.9983565732307296
29.0,0.15,1.0,0.41656674899973345,1.0,0.9612330953886931,20,0.9871900402610774
19.0,0.42857142857142855,1.0,0.38347278961749875,1.0,0.9354580981328702,7,0.9831487481102128
34.0,0.15384615384615385,1.0,0.4617541665107745,1.0,0.9709072978303748,13,0.8952601035191174
31.0,0.125,1.0,0.4508561396136239,1.0,0.9620781004709575,16,0.893963417875629
18.0,0.3333333333333333,1.0,0.5905982905982905,1.0,0.9503546099290779,3,0.8230841971267503
12.0,0.3333333333333333,1.0,0.5742986139863173,1.0,0.9454545454545454,3,0.820314268251809
69.0,0.5,1.0,0.5689655172413793,1.0,0.9361702127659575,2,0.82017608217168
4.0,0.25,1.0,0.5197566789136665,1.0,0.9549180327868853,4,0.8084595325040448
67.0,0.3333333333333333,1.0,0.5148782267830321,1.0,0.9574468085106383,3,0.8072309645055425
63.0,0.14285714285714285,1.0,0.5149231401508818,1.0,0.9730458221024259,7,0.8056800458199338
68.0,0.25,1.0,0.5086359886423482,1.0,0.9611111111111111,4,0.8056160866173584
65.0,0.16666666666666666,1.0,0.47704397895603623,1.0,0.9787234042553191,6,0.7975364553656753
17.0,0.2,1.0,0.41293353303946534,1.0,0.9653846153846153,5,0.7860482450694315
13.0,0.3333333333333333,1.0,0.3793470360787278,1.0,0.9281045751633986,3,0.7830589496994057
64.0,0.25,0.8,0.5029448642059628,1.0,0.9573170731707317,5,0.7698572655241194
16.0,0.0,1.0,0.5882873766759422,1.0,1.0,3,0.7176574753351884
3.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
79.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
76.0,0.0,1.0,0.4928326550746084,1.0,1.0,3,0.6985665310149216
77.0,0.0,1.0,0.4901960784313726,1.0,1.0,2,0.6980392156862745
14.0,0.0,1.0,0.46454531273632926,1.0,1.0,5,0.6929090625472658
78.0,0.0,1.0,0.46070994637171114,1.0,1.0,4,0.6921419892743422
71.0,0.0,1.0,0.4503304004965134,1.0,1.0,3,0.6900660800993026
9.0,0.0,1.0,0.44694960212201595,1.0,1.0,3,0.6893899204244032
15.0,0.0,1.0,0.4181818181818182,1.0,1.0,2,0.6836363636363636
10.0,0.0,1.0,0.405258488267387,1.0,1.0,4,0.6810516976534774
73.0,0.0,1.0,0.39583333333333337,1.0,1.0,2,0.6791666666666667
74.0,0.0,1.0,0.39583333333333337,1.0,1.0,2,0.6791666666666667
85.0,0.0,1.0,0.39583333333333337,1.0,1.0,2,0.6791666666666667
11.0,0.0,1.0,0.38596491228070173,1.0,1.0,2,0.6771929824561403
6.0,0.0,1.0,0.2407407407407407,1.0,1.0,2,0.6481481481481481
75.0,0.0,0.75,0.4748303167420814,1.0,1.0,4,0.6199660633484163
80.0,0.0,0.6666666666666666,0.5384615384615384,1.0,1.0,3,0.6076923076923078
98.0,0.0,1.0,0.0,1.0,1.0,1,0.6
95.0,0.0,1.0,0.0,1.0,1.0,1,0.6
97.0,0.0,1.0,0.0,1.0,1.0,1,0.6
93.0,0.0,1.0,0.0,1.0,1.0,1,0.6
90.0,0.0,1.0,0.0,1.0,1.0,1,0.6
96.0,0.0,1.0,0.0,1.0,1.0,1,0.6
84.0,0.0,1.0,0.0,1.0,1.0,1,0.6
89.0,0.0,1.0,0.0,1.0,1.0,1,0.6
99.0,0.0,1.0,0.0,1.0,1.0,1,0.6
82.0,0.0,1.0,0.0,1.0,1.0,1,0.6
81.0,0.0,1.0,0.0,1.0,1.0,1,0.6
70.0,0.0,1.0,0.0,1.0,1.0,1,0.6
8.0,0.0,1.0,0.0,1.0,1.0,1,0.6
83.0,0.0,0.0,0.0,0.0,0.0,0,0.1
86.0,0.0,0.0,0.0,0.0,0.0,0,0.1
87.0,0.0,0.0,0.0,0.0,0.0,0,0.1
88.0,0.0,0.0,0.0,0.0,0.0,0,0.1
72.0,0.0,0.0,0.0,0.0,0.0,0,0.1
91.0,0.0,0.0,0.0,0.0,0.0,0,0.1
92.0,0.0,0.0,0.0,0.0,0.0,0,0.1
94.0,0.0,0.0,0.0,0.0,0.0,0,0.1
1.0,0.0,0.0,0.0,0.0,0.0,0,0.1
5.0,0.0,0.0,0.0,0.0,0.0,0,0.1
2.0,0.0,0.0,0.0,0.0,0.0,0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0,0.1
