generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
43.0,0.4666666666666667,0.9375,0.4603585893597326,1.0,0.911598443613789,16,1.4288285401772343
21.0,0.5,1.0,0.47537785132971755,1.0,0.9090214341523375,14,1.4041734268507098
36.0,0.2857142857142857,0.9545454545454546,0.4335527530158052,1.0,0.9495297045179066,22,1.3066926450864353
24.0,0.46153846153846156,1.0,0.46685161044528145,1.0,0.9264264134381853,13,1.300727680745238
42.0,0.3333333333333333,1.0,0.4486519046010061,1.0,0.9484055414618678,18,1.2948898267740145
45.0,0.4,1.0,0.4290565222952163,1.0,0.9332842620226851,15,1.292482878256775
39.0,0.3157894736842105,1.0,0.4390004277981566,1.0,0.9538415085911268,19,1.2924159347005186
49.0,0.5555555555555556,1.0,0.49057859625600364,1.0,0.863464396625782,9,1.2117692795886224
48.0,0.45454545454545453,0.9166666666666666,0.4226476265731336,1.0,0.9399250110668039,12,1.2109915696624918
33.0,0.3125,0.9411764705882353,0.4370159808422912,1.0,0.9568419274761186,17,1.205321944597317
20.0,0.38461538461538464,1.0,0.42826153201009043,1.0,0.9278708471016164,13,1.1928652216918565
40.0,0.29411764705882354,1.0,0.4289248950326561,1.0,0.952484041506733,17,1.1905365748558578
37.0,0.2631578947368421,1.0,0.42339116829566503,1.0,0.9590593950012233,19,1.1887722941590106
81.0,0.6666666666666666,1.0,0.460936504279554,1.0,0.8588322855160501,6,1.1063040723043058
51.0,0.4444444444444444,1.0,0.4761773596060278,1.0,0.9028825205295793,9,1.1049472198682475
25.0,0.2857142857142857,1.0,0.484018695453853,1.0,0.9391037359911468,14,1.102893365491656
28.0,0.2857142857142857,1.0,0.48568296076572803,1.0,0.9476323312972864,14,1.1023733590234168
26.0,0.3333333333333333,1.0,0.4785150213301307,1.0,0.9400175173258797,12,1.1017012525334382
47.0,0.25,1.0,0.454674098444116,1.0,0.9462139423076923,16,1.096313425458054
27.0,0.2857142857142857,1.0,0.45306118155783615,1.0,0.9471767806559772,14,1.0958945582459694
38.0,0.23529411764705882,1.0,0.4526754758405003,1.0,0.9658789100924651,17,1.0939472041588534
19.0,0.3333333333333333,1.0,0.38483054609144873,1.0,0.9362713033931521,12,1.0833389788789747
17.0,0.4444444444444444,1.0,0.37564268309148785,1.0,0.9224450827794293,9,1.0828840283403545
5.0,0.6,1.0,0.49743917084246214,1.0,0.9057543231961838,5,1.008912401848874
83.0,0.5,1.0,0.4735784938584312,1.0,0.875593685975042,6,1.0071563301741822
22.0,0.3333333333333333,0.9,0.4881165723997456,1.0,0.9462899334866989,10,1.0063276544646125
7.0,0.42857142857142855,1.0,0.4861210666838932,1.0,0.9277511961722488,7,1.0044490937195538
30.0,0.2727272727272727,1.0,0.492927526964306,1.0,0.9515287441275667,11,1.0034326309801045
84.0,0.6,1.0,0.4094012684734102,1.0,0.8902553329023917,5,0.9928547204044429
31.0,0.3,1.0,0.4366871325322885,1.0,0.9499761489961838,10,0.9923398116068394
80.0,0.42857142857142855,1.0,0.40565858713032277,1.0,0.903863432165319,7,0.9907453742095327
11.0,1.0,1.0,0.6268656716417911,1.0,0.8111858704793944,2,0.9442545472804189
52.0,0.25,1.0,0.5141809712624631,1.0,0.9276709401709402,8,0.9100691002353984
16.0,0.6666666666666666,1.0,0.4873862696443342,1.0,0.8918073796122576,3,0.908296515967641
50.0,0.3333333333333333,1.0,0.46787411754734365,1.0,0.9468599033816426,6,0.8988888331713045
75.0,0.4,1.0,0.448241728924081,1.0,0.9279050736497545,5,0.8968578384198407
41.0,0.15384615384615385,1.0,0.46763250454607097,1.0,0.9695250105086171,13,0.8965739998583524
29.0,0.15384615384615385,1.0,0.4574847746135614,1.0,0.9702564102564104,13,0.8944713138970712
18.0,0.6666666666666666,1.0,0.412099358974359,1.0,0.8797524314765695,3,0.8944446286472147
34.0,0.16666666666666666,1.0,0.43545012459414867,1.0,0.961844415185429,12,0.8909055834002868
23.0,0.15384615384615385,0.8666666666666667,0.46118700226559106,1.0,0.9648978472507884,15,0.8865168464972701
79.0,0.4,1.0,0.3804455072860221,1.0,0.9050207866965142,5,0.8855870227875529
14.0,0.3333333333333333,1.0,0.5500323168223751,1.0,0.9430894308943089,3,0.815697520275044
73.0,0.3333333333333333,1.0,0.5451389497676866,1.0,0.937984496124031,3,0.8152293403411343
82.0,0.3333333333333333,1.0,0.5347011144883485,1.0,0.9444444444444445,3,0.8124957784532252
55.0,0.25,1.0,0.5348872943006604,1.0,0.9611111111111111,4,0.8108663477490209
74.0,0.3333333333333333,1.0,0.5193779319237866,1.0,0.9481481481481482,3,0.8090607715699424
65.0,0.5,1.0,0.4736842105263158,1.0,0.8942307692307692,2,0.8053137651821861
96.0,0.5,1.0,0.4736842105263158,1.0,0.8942307692307692,2,0.8053137651821861
9.0,0.25,1.0,0.5034498510812062,1.0,0.9583333333333334,4,0.8048566368829079
59.0,0.25,1.0,0.47050875630677835,1.0,0.9795918367346939,4,0.7961425675878863
35.0,0.07142857142857142,1.0,0.46804292034529826,1.0,0.9880952380952381,14,0.7947990602595357
78.0,0.25,1.0,0.4449529554470052,1.0,0.9471153846153846,4,0.7942790526278625
46.0,0.2,1.0,0.4457021024006115,1.0,0.9666666666666668,5,0.7924737538134556
44.0,0.1111111111111111,1.0,0.45275579319504866,1.0,0.9830917874396135,9,0.7922419798950484
57.0,0.2,1.0,0.4215342725292066,1.0,0.9652173913043478,5,0.7877851153754065
53.0,0.2,1.0,0.4118015575024334,1.0,0.9826086956521738,5,0.7840994419352691
13.0,0.5,1.0,0.33333333333333337,1.0,0.9146341463414633,2,0.7752032520325204
87.0,0.5,1.0,0.3207547169811321,1.0,0.9230769230769231,2,0.7718432510885341
8.0,0.5,1.0,0.25,1.0,0.8942307692307692,2,0.7605769230769229
6.0,1.0,1.0,0.0,1.0,0.7413793103448276,1,0.7258620689655172
15.0,1.0,1.0,0.0,1.0,0.8292682926829268,1,0.7170731707317073
3.0,1.0,1.0,0.0,1.0,0.8688524590163934,1,0.7131147540983606
70.0,0.0,1.0,0.49996457836446495,1.0,1.0,3,0.699992915672893
60.0,0.0,1.0,0.4748303167420814,1.0,1.0,3,0.6949660633484163
10.0,0.0,1.0,0.47328090340794515,1.0,1.0,3,0.694656180681589
62.0,0.0,1.0,0.4718682650272802,1.0,1.0,6,0.6943736530054561
77.0,0.0,1.0,0.47058823529411764,1.0,1.0,2,0.6941176470588235
72.0,0.0,1.0,0.47058823529411764,1.0,1.0,2,0.6941176470588235
67.0,0.0,1.0,0.47058823529411764,1.0,1.0,2,0.6941176470588235
64.0,0.0,1.0,0.47058823529411764,1.0,1.0,2,0.6941176470588235
32.0,0.0,1.0,0.4441585044142675,1.0,1.0,11,0.6888317008828535
58.0,0.0,1.0,0.4344346443235614,1.0,1.0,5,0.6868869288647123
90.0,0.0,1.0,0.42553191489361697,1.0,1.0,2,0.6851063829787234
86.0,0.0,1.0,0.42553191489361697,1.0,1.0,2,0.6851063829787234
91.0,0.0,1.0,0.4060178582401127,1.0,1.0,3,0.6812035716480225
93.0,0.0,1.0,0.39583333333333337,1.0,1.0,2,0.6791666666666667
61.0,0.0,1.0,0.39583333333333337,1.0,1.0,2,0.6791666666666667
56.0,0.0,1.0,0.3683622385124262,1.0,1.0,3,0.6736724477024852
54.0,0.0,1.0,0.3192722847602302,1.0,1.0,5,0.663854456952046
69.0,0.0,1.0,0.31372549019607854,1.0,1.0,3,0.6627450980392158
63.0,0.0,0.8333333333333334,0.45872296542168023,1.0,1.0,6,0.641744593084336
89.0,0.0,1.0,0.0,1.0,1.0,1,0.6
97.0,0.0,1.0,0.0,1.0,1.0,1,0.6
94.0,0.0,1.0,0.0,1.0,1.0,1,0.6
98.0,0.0,1.0,0.0,1.0,1.0,1,0.6
95.0,0.0,1.0,0.0,1.0,1.0,1,0.6
92.0,0.0,1.0,0.0,1.0,1.0,1,0.6
99.0,0.0,1.0,0.0,1.0,1.0,1,0.6
88.0,0.0,1.0,0.0,1.0,1.0,1,0.6
85.0,0.0,1.0,0.0,1.0,1.0,1,0.6
76.0,0.0,1.0,0.0,1.0,1.0,1,0.6
71.0,0.0,1.0,0.0,1.0,1.0,1,0.6
68.0,0.0,1.0,0.0,1.0,1.0,1,0.6
12.0,0.0,1.0,0.0,1.0,1.0,1,0.6
4.0,0.0,1.0,0.0,1.0,1.0,1,0.6
2.0,0.0,1.0,0.0,1.0,1.0,1,0.6
66.0,0.0,0.6666666666666666,0.42553191489361697,1.0,1.0,3,0.5851063829787233
1.0,0.0,0.0,0.0,0.0,0.0,0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0,0.1
