smiles,fitness,score,generation,can_smiles,duplicate,Tg
Cc1cc(S(=O)(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)cc(C)c1I,1.0,0.6999999,62.0,Cc1cc(S(=O)(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)cc(C)c1I,1,754.0494857142859
Cc1cc(I)ccc1S(=O)(=O)c1ccc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(Cl)c1Cl,0.95822453,0.6235889,62.0,Cc1cc(I)ccc1S(=O)(=O)c1ccc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(Cl)c1Cl,1,766.296
Cc1cc(S(=O)(=O)c2cc(Cl)cc(I)c2)cc(C)c1S(=O)(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(Cl)c1Cl,0.9447981,0.5960535,62.0,Cc1cc(S(=O)(=O)c2cc(Cl)cc(I)c2)cc(C)c1S(=O)(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(Cl)c1Cl,0,758.774
Cc1cc(I)cc(C)c1S(=O)(=O)c1ccc(S(=O)(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)c(Cl)c1Cl,0.96042436,0.6279601,62.0,Cc1cc(S(=O)(=O)c2ccc(S(=O)(=O)c3c(C)cc(I)cc3C)c(Cl)c2Cl)c(C)cc1-n1c(=O)c2cc3c(=O)n(I)c(=O)c3cc2c1=O,0,764.658
Cc1cc(I)cc(C)c1S(=O)(=O)c1ccc(C(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(C)c2)c(Cl)c1Cl,0.9605977,0.62830293,62.0,Cc1cc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(C)cc1C(=O)c1ccc(S(=O)(=O)c2c(C)cc(I)cc2C)c(Cl)c1Cl,0,750.686
Cc1cc(S(=O)(=O)c2cc(Cl)cc(I)c2)ccc1S(=O)(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(Cl)c1Cl,0.944898,0.5962639,62.0,Cc1cc(S(=O)(=O)c2cc(Cl)cc(I)c2)ccc1S(=O)(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(Cl)c1Cl,0,762.422
Cc1cc(S(=O)(=O)c2cc(C)c(C(=O)c3ccc(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)c(C)c3)c(Cl)c2Cl)ccc1I,0.9656661,0.6382179,62.0,Cc1cc(S(=O)(=O)c2cc(C)c(C(=O)c3ccc(-n4c(=O)c5cc6c(=O)n(I)c(=O)c6cc5c4=O)c(C)c3)c(Cl)c2Cl)ccc1I,0,750.712
Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)c(C)cc1C(=O)c1ccc(I)c(Cl)c1Cl,0.95301414,0.613078,62.0,Cc1cc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)c(Cl)c2Cl)c(C)cc1C(=O)c1ccc(I)c(Cl)c1Cl,0,788.388
Cc1cc(S(=O)(=O)c2ccc(I)c(Cl)c2)ccc1S(=O)(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(Cl)c1Cl,0.95010036,0.6071036,62.0,Cc1cc(S(=O)(=O)c2ccc(I)c(Cl)c2)ccc1S(=O)(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(I)c(=O)c4cc3c2=O)c(Cl)c1Cl,0,773.898
Cc1cc(I)cc(C)c1S(=O)(=O)c1ccc(S(=O)(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(Cl)c1Cl,0.9431931,0.59266317,62.0,Cc1cc(I)cc(C)c1S(=O)(=O)c1ccc(S(=O)(=O)c2c(C)cc(-n3c(=O)c4cc5c(=O)n(I)c(=O)c5cc4c3=O)cc2C)c(Cl)c1Cl,1,751.624
