generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
41.0,0.6296296296296297,0.9642857142857143,0.42102985095638057,1.0,0.8678078901675944,28,2.449673858423194
38.0,0.5909090909090909,0.9166666666666666,0.4701908641661806,1.0,0.8592351776556896,24,2.1012964732494854
40.0,0.6363636363636364,1.0,0.42832383528843276,1.0,0.8544378902329584,22,2.1002209780343906
39.0,0.48,1.0,0.41123058968038706,1.0,0.8968804172435142,25,1.892558076211726
37.0,0.55,1.0,0.4361970616744455,1.0,0.8970684488873172,20,1.7975325674461575
45.0,0.625,0.9411764705882353,0.4283157694755424,1.0,0.8657277893114648,17,1.7439433161404325
43.0,0.5,0.9523809523809523,0.4480649529411299,1.0,0.8861653222618144,21,1.7367107440763303
42.0,0.6666666666666666,1.0,0.4707744670274071,1.0,0.8711568114348115,15,1.7070392122620004
46.0,0.5625,1.0,0.4563283331484046,1.0,0.8772108664680804,16,1.603544579982873
44.0,0.47058823529411764,0.8947368421052632,0.4496556710043248,1.0,0.9014945168089463,19,1.5623203822103728
36.0,0.42857142857142855,0.9333333333333333,0.4309608302195873,1.0,0.8956228115168345,15,1.3194870277493767
48.0,0.5454545454545454,1.0,0.42402250853952494,1.0,0.8986529648699174,11,1.2949392052209132
56.0,0.5555555555555556,0.9,0.43606666017597895,1.0,0.8709030964778092,10,1.2256785779429706
55.0,0.5555555555555556,0.9,0.3706337159738643,1.0,0.8860707124360608,10,1.2110752275067223
31.0,0.45454545454545453,1.0,0.4901891475900292,1.0,0.9040158473699954,11,1.2076362447810063
30.0,0.35714285714285715,1.0,0.46247837405309333,1.0,0.9193527205863484,14,1.2005604027519838
88.0,0.7142857142857143,1.0,0.41991672167940064,1.0,0.8715255332902391,7,1.1968307910068563
60.0,0.4444444444444444,1.0,0.4619367174330571,1.0,0.9134391534391535,9,1.1010434281426962
51.0,0.5714285714285714,1.0,0.4584945030919817,1.0,0.9088905257383518,7,1.1008098480445612
26.0,0.3333333333333333,1.0,0.43274229551136156,1.0,0.9240821795906541,12,1.094140241143207
61.0,0.4444444444444444,1.0,0.40945362160022547,1.0,0.913389714860303,9,1.0905517528340147
62.0,0.5,0.8571428571428571,0.4543361255780136,1.0,0.9091880341880341,7,1.0070912788396564
34.0,0.3333333333333333,1.0,0.4869268325785815,1.0,0.9078251183514341,9,1.006602854680573
28.0,0.3333333333333333,1.0,0.4732078768725946,1.0,0.9042160989922183,9,1.0042199654752972
32.0,0.3,1.0,0.47460555313286446,1.0,0.9177950310559005,10,1.003141607520983
47.0,0.375,0.8888888888888888,0.4523073056944177,1.0,0.9317543859649122,9,1.001452689209059
27.0,0.3,1.0,0.4567278729153311,1.0,0.9307617022077507,10,0.9982694043622911
35.0,0.25,1.0,0.45967127036903754,1.0,0.9481811850423231,12,0.9971161355695752
98.0,0.42857142857142855,1.0,0.4324602077917985,1.0,0.8969510881275587,7,0.9967969327456039
17.0,0.42857142857142855,1.0,0.42970601907260575,1.0,0.8973157989551431,7,0.9962096239190068
33.0,0.2727272727272727,1.0,0.4341949515369038,1.0,0.9285714285714285,11,0.993981847450238
99.0,0.3333333333333333,1.0,0.43499846486736005,1.0,0.9385698723934017,9,0.993142705734132
24.0,0.5,1.0,0.36971967445717313,1.0,0.9096907993966817,6,0.9829748549517665
50.0,0.75,1.0,0.3510941763921944,1.0,0.8730506822612085,4,0.982913767052318
12.0,0.4,1.0,0.5096043352081991,1.0,0.8877076411960132,5,0.9131501029220386
96.0,0.5,1.0,0.4934588553494681,1.0,0.9023109243697478,4,0.9084606786329188
83.0,0.5,1.0,0.47727445437060967,1.0,0.8725369458128079,4,0.9082011962928411
82.0,0.4,1.0,0.4649956866973157,1.0,0.9241354723707664,5,0.9005855901023865
94.0,0.6666666666666666,0.75,0.4633300422774108,1.0,0.8503911342894394,4,0.899293561693205
78.0,0.5,1.0,0.4486967301500516,1.0,0.90625,4,0.8991143460300104
20.0,0.5,1.0,0.44556077979991027,1.0,0.9020334174022698,4,0.898908814219755
81.0,0.6666666666666666,1.0,0.41331824184116206,1.0,0.858500417710944,3,0.8968136065971382
29.0,0.25,1.0,0.4470345380112992,1.0,0.9412037037037038,8,0.8952865372318894
53.0,0.5,0.8,0.45698112730216556,1.0,0.8794326241134751,5,0.8934529630490855
58.0,0.6666666666666666,1.0,0.40413708369839973,1.0,0.8798417894162575,3,0.8928432377980542
80.0,0.4,1.0,0.4023185338698487,1.0,0.9059536541889484,5,0.889868341355075
57.0,0.5,1.0,0.40123923480921464,1.0,0.918648310387985,4,0.8883830159230444
59.0,0.6666666666666666,1.0,0.3756267333935521,1.0,0.8782051282051282,3,0.8873048338581975
89.0,0.4,1.0,0.38708856931298796,1.0,0.9223981900452488,5,0.8851778948580729
19.0,0.2857142857142857,1.0,0.38744086324546445,1.0,0.9445701357466063,7,0.8830311590744322
25.0,0.3333333333333333,1.0,0.36265876574346434,1.0,0.9391025641025642,6,0.8786214967384365
4.0,0.5,1.0,0.5384615384615384,1.0,0.9098360655737705,2,0.8167087011349305
9.0,0.3333333333333333,1.0,0.5079757632495969,1.0,0.9444444444444445,3,0.8071507082054749
76.0,0.2,1.0,0.49340378167584054,1.0,0.9322033898305084,5,0.8054604173521172
86.0,0.5,1.0,0.4736842105263158,1.0,0.8942307692307692,2,0.8053137651821861
79.0,0.5,1.0,0.44999999999999996,1.0,0.9035087719298245,2,0.7996491228070175
72.0,0.3333333333333333,1.0,0.46366057310882414,1.0,0.9371069182389937,3,0.7990214227978655
69.0,0.2,1.0,0.4732325123477996,1.0,0.9571428571428571,5,0.7989322167552741
63.0,0.2,1.0,0.43806385632646827,1.0,0.9576923076923076,5,0.7918435404960629
66.0,0.25,1.0,0.4308949417817848,1.0,0.9471153846153846,4,0.7914674498948184
85.0,0.25,1.0,0.4294445615125483,1.0,0.96,4,0.7898889123025096
84.0,0.5,1.0,0.4035087719298246,1.0,0.9181818181818182,2,0.7888835725677831
21.0,0.2,1.0,0.42006747606965167,1.0,0.9647058823529411,5,0.7875429069786362
65.0,0.14285714285714285,1.0,0.4118963400737963,1.0,0.9697802197802198,7,0.7854012460367372
10.0,0.3333333333333333,1.0,0.3851851851851852,1.0,0.9277777777777777,3,0.7842592592592593
18.0,0.16666666666666666,1.0,0.4030936916625276,1.0,0.9647435897435898,6,0.7841443793581465
87.0,0.2,1.0,0.39231541614793186,1.0,0.9576923076923076,5,0.7826938524603556
11.0,0.3333333333333333,1.0,0.37910002710761725,1.0,0.9411764705882352,3,0.7817023583626999
14.0,0.2,1.0,0.3667245017630556,1.0,0.9568627450980391,5,0.7776586258428071
49.0,0.125,0.8888888888888888,0.44316162618944765,1.0,0.9814814814814815,9,0.7696508437564081
54.0,0.25,0.8,0.4512486530308065,1.0,0.946078431372549,5,0.7606418874689064
23.0,0.3333333333333333,1.0,0.2629551820728292,1.0,0.9294871794871794,3,0.7596423184658478
22.0,0.3333333333333333,0.75,0.39449917898193754,1.0,0.9294871794871794,4,0.7442844511810027
90.0,0.25,0.8,0.3552655460015456,1.0,0.9471153846153846,5,0.7413415707387706
7.0,0.0,1.0,0.5535714285714286,1.0,1.0,2,0.7107142857142856
97.0,0.0,1.0,0.5283018867924528,1.0,1.0,2,0.7056603773584906
52.0,0.0,1.0,0.5167425214524441,1.0,1.0,4,0.7033485042904888
5.0,0.0,1.0,0.5102040816326531,1.0,1.0,2,0.7020408163265306
15.0,0.0,1.0,0.48121359908460226,1.0,1.0,5,0.6962427198169204
75.0,0.0,1.0,0.4748303167420814,1.0,1.0,3,0.6949660633484163
77.0,0.0,1.0,0.4748303167420814,1.0,1.0,3,0.6949660633484163
71.0,0.0,1.0,0.4748303167420814,1.0,1.0,3,0.6949660633484163
64.0,0.0,1.0,0.4438564432865344,1.0,1.0,3,0.6887712886573069
74.0,0.0,1.0,0.4438564432865344,1.0,1.0,3,0.6887712886573069
68.0,0.0,1.0,0.4305010893246187,1.0,1.0,3,0.6861002178649238
73.0,0.0,1.0,0.42553191489361697,1.0,1.0,2,0.6851063829787234
70.0,0.0,1.0,0.42553191489361697,1.0,1.0,2,0.6851063829787234
67.0,0.0,1.0,0.39583333333333337,1.0,1.0,2,0.6791666666666667
13.0,0.0,1.0,0.3793103448275862,1.0,1.0,2,0.6758620689655173
16.0,0.0,1.0,0.37548255216585524,1.0,1.0,5,0.675096510433171
91.0,0.0,1.0,0.30799663299663305,1.0,1.0,3,0.6615993265993265
8.0,0.0,1.0,0.15555555555555556,1.0,1.0,2,0.6311111111111111
95.0,0.0,0.75,0.4912779338953567,1.0,1.0,4,0.6232555867790712
92.0,0.0,1.0,0.025000000000000022,1.0,1.0,2,0.605
93.0,0.0,1.0,0.0,1.0,1.0,1,0.6
3.0,0.0,0.0,0.0,0.0,0.0,0,0.1
6.0,0.0,0.0,0.0,0.0,0.0,0,0.1
1.0,0.0,0.0,0.0,0.0,0.0,0,0.1
2.0,0.0,0.0,0.0,0.0,0.0,0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0,0.1
