generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
29.0,0.36363636363636365,0.9166666666666666,0.443740678323329,1.0,0.9217563776100269,12,1.1079361342672995
66.0,0.4444444444444444,1.0,0.4792181417467124,1.0,0.9061170167981314,9,1.1052319266695294
32.0,0.3333333333333333,1.0,0.4579036129753219,1.0,0.9362033098315159,12,1.0979603916119127
34.0,0.25,1.0,0.47338334335885435,1.0,0.926717501815541,12,1.002004918490217
27.0,0.375,0.8888888888888888,0.4323946958547491,1.0,0.9318910256410257,9,0.997456503273514
65.0,0.42857142857142855,0.875,0.38936614350274235,1.0,0.8913488472312002,8,0.9940954868345713
68.0,0.375,1.0,0.38840016946460754,1.0,0.9102564102564102,8,0.9866543928672804
8.0,1.0,1.0,0.56,1.0,0.7614035087719297,2,0.9358596491228071
63.0,0.2857142857142857,1.0,0.47121859058907845,1.0,0.9380797773654918,7,0.9004357403812664
41.0,0.2222222222222222,1.0,0.4498340585043976,1.0,0.9493177387914229,9,0.8950350378217371
43.0,0.2222222222222222,1.0,0.44076316788582015,1.0,0.9477124183006536,9,0.8933813917470985
45.0,0.4,1.0,0.41573810201445327,1.0,0.8980392156862745,5,0.8933436988342631
37.0,0.2857142857142857,1.0,0.4272794649875916,1.0,0.9215686274509804,7,0.8932990302524202
40.0,0.2,0.9090909090909091,0.4708822566222073,1.0,0.9550224887556222,11,0.8914014751761519
36.0,0.2,1.0,0.4356055165327084,1.0,0.9573787409700723,10,0.8913832292095345
64.0,0.3333333333333333,1.0,0.4189311173772413,1.0,0.9362883051907441,6,0.8901573929563737
38.0,0.2,1.0,0.4250203114083495,1.0,0.9647058823529411,10,0.8885334740463757
39.0,0.2222222222222222,1.0,0.42015666330920376,1.0,0.9564270152505446,9,0.8883886311367863
26.0,0.2222222222222222,1.0,0.4183086546345066,1.0,0.9557800956106041,9,0.8880837213658408
31.0,0.15384615384615385,0.9285714285714286,0.4514468858932188,1.0,0.9729344729344729,14,0.8869519738412405
61.0,0.2857142857142857,0.875,0.3821070190862337,1.0,0.9508844813722863,8,0.8724043842514467
15.0,0.3333333333333333,1.0,0.5097245375883146,1.0,0.937984496124031,3,0.8081464579052599
14.0,0.5,1.0,0.4642857142857143,1.0,0.8942307692307692,2,0.8034340659340659
44.0,0.25,1.0,0.48106162355206117,1.0,0.9611111111111111,4,0.800101213599301
59.0,0.25,1.0,0.4736007047182439,1.0,0.9537037037037037,4,0.7993497705732784
67.0,0.2,1.0,0.46038303688809656,1.0,0.9653846153846153,5,0.7955381458391577
18.0,0.3333333333333333,1.0,0.411019536019536,1.0,0.9294871794871794,3,0.7892551892551892
22.0,0.3333333333333333,1.0,0.411019536019536,1.0,0.9294871794871794,3,0.7892551892551892
33.0,0.09090909090909091,1.0,0.4386788517633019,1.0,0.9865319865319865,11,0.7890825716994616
42.0,0.1111111111111111,1.0,0.4290681889172867,1.0,0.9764957264957265,9,0.7881640651338847
28.0,0.16666666666666666,1.0,0.42457950543323186,1.0,0.9743589743589745,6,0.7874800036507489
50.0,0.3333333333333333,1.0,0.40019118661066877,1.0,0.9294871794871794,3,0.7870895193734158
69.0,0.25,1.0,0.40623515635308083,1.0,0.946078431372549,4,0.7866391881333612
24.0,0.16666666666666666,1.0,0.4133024794583541,1.0,0.9647435897435898,6,0.7861861369173119
35.0,0.125,1.0,0.4146549245831326,1.0,0.9730392156862745,8,0.785627063347999
70.0,0.25,1.0,0.3433760683760684,1.0,0.9567307692307692,4,0.7730021367521367
48.0,0.3333333333333333,1.0,0.2592592592592592,1.0,0.9382716049382717,3,0.7580246913580247
25.0,0.2,0.8333333333333334,0.3900465860222646,1.0,0.9576923076923076,6,0.7522400864352222
5.0,1.0,1.0,0.0,1.0,0.8688524590163934,1,0.7131147540983606
79.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
72.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
73.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
74.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
80.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
75.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
76.0,0.0,1.0,0.5384615384615384,1.0,1.0,2,0.7076923076923076
